"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
3000,2999.95043945312
3127.17046926729,3127.16870117187
3259.73171461913,3259.72705078125
3397.91225189698,3397.91137695312
3541.95028376458,3541.9501953125
3692.09411033383,3692.09399414062
3848.60255719721,3848.60815429687
4011.74542160456,4011.74487304687
4181.80393755334,4181.8037109375
4359.07126059415,4359.07666015625
4543.85297318725,4543.85693359375
4736.46761148118,4736.46923828125
4937.24721442163,4937.2509765625
5146.53789613716,5146.53759765625
5364.70044258837,5364.7041015625
5592.11093350917,5592.11083984375
5829.1613907122,5829.162109375
6076.26045387607,6076.26171875
6333.83408497929,6333.8369140625
6602.32630259527,6602.32763671875
6882.1999473142,6882.20068359375
7173.93747961128,7173.93798828125
7478.04181153673,7478.0419921875
7795.03717366123,7795.03515625
8125.47001877138,8125.466796875
8469.90996387285,8469.91015625
8828.95077212531,8828.9521484375
9203.21137640163,9203.2099609375
9593.33694623597,9593.3330078125
9999.99999999997,9999.9931640625

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
3000,-8.27161189198262
3127.17046926729,-7.68100584425647
3259.73171461913,-7.06584098336257
3397.91225189698,-6.40206611491314
3541.95028376458,-5.75445472796623
3692.09411033383,-5.05708699273229
3848.60255719721,-4.33127001324324
4011.74542160456,-3.58094574522819
4181.80393755334,-2.81187481662974
4359.07126059415,-2.03850289423842
4543.85297318725,-1.28585301304307
4736.46761148118,-0.572456479326178
4937.24721442163,-0.00912073607289697
5146.53789613716,0.404343119635604
5364.70044258837,0.600997797043344
5592.11093350917,0.56564230521503
5829.1613907122,0.315356916836122
6076.26045387607,-0.112846855327308
6333.83408497929,-0.666595723935691
6602.32630259527,-1.29659362270754
6882.1999473142,-1.97079217712196
7173.93747961128,-2.66493769718656
7478.04181153673,-3.38296414963855
7795.03717366123,-4.05379304091036
8125.47001877138,-4.73147980846669
8469.90996387285,-5.39051199750527
8828.95077212531,-6.03018376204237
9203.21137640163,-6.64973111354629
9593.33694623597,-7.24922914376486
9999.99999999997,-7.83048644592667

